"id","question","choice1","choice2","choice3","choice4","answer","difficulty"
1,"What is the correct syntax to install a package in R?","install.packages()","library()","install.library()","install()",1,1
2,"Which function loads an installed package into your session?","install()","require()","library()","load.package()",3,1
3,"How do you read a CSV file into R using base R?","read.table()","scan()","read.delim()","read.csv()",4,1
4,"Which operator is used for indexing a dataframe by column name?","[[","$","%","@",2,1
5,"What does the Environment pane in RStudio display?","Objects in your workspace","Your RStudio theme settings","Plots and visualizations","Your GitHub repositories",1,2
6,"How do you create a new R script in RStudio?","File --> New File --> R Script or Quarto Doc","Tools → Global Options","Code → Reformat","Session → Restart R",1,2
7,"Which function shows the first six rows of a dataframe?","tail()","glimpse()","head()","view()",3,2
8,"How do you save a dataframe called df as a CSV file?","saveRDS(df, 'df.rds')","save.csv(df)","export(df)","write.csv(df, 'df.csv')",4,2
9,"Which tidyverse function filters rows based on a condition?","arrange()","filter()","mutate()","select()",2,3
10,"What does the pipe operator %>% do?","Creates a new dataframe","Passes output of one function into the next","Combines two vectors","Creates a loop",2,3
11,"Which function from rio reads in data automatically based on file extension?","read()","rio()","read.csv()","import()",4,3
12,"How do you create a dataframe in R?","matrix()","tibble()","data.frame()","create.df()",3,3
13,"Which ggplot2 function initializes a plot object?","plot()","qplot()","ggplot()","labs()",3,4
14,"What is the correct syntax to select columns using dplyr?","select(df, column1, column2)","df.select(columns)","select_columns(df)","df %select% columns",1,4
15,"How do you access help for a function in R from a package already installed?","help(function_name)","help.search(""function_name"")","??function_name","?function_name",4,4
16,"Which function computes the mean of a numeric vector?","sum()","mean()","calculate_mean()","m()",2,4
17,"What is the correct structure of a user-defined function in R?","define(arg){ body }","function(x) x + 1","function(arg){ body }","function{arg}(body)",3,5
18,"Which dplyr function groups data before summarizing?","summarize()","slice()","rename()","group_by()",4,5
19,"How do you reference a single element in a vector?","vector[1]","vector(1)","vector[[1]]","vector{1}",1,5
20,"Which ggplot2 layer adds points to a plot?","geom_bar()","geom_point()","geom_histogram()","geom_smooth()",2,6
